episodio,score,media_100,epsilon
1,0,0.0,0.995
2,0,0.0,0.99
3,0,0.0,0.9851
4,0,0.0,0.9801
5,0,0.0,0.9752
6,0,0.0,0.9704
7,0,0.0,0.9655
8,0,0.0,0.9607
9,0,0.0,0.9559
10,0,0.0,0.9511
11,0,0.0,0.9464
12,0,0.0,0.9416
13,0,0.0,0.9369
14,0,0.0,0.9322
15,0,0.0,0.9276
16,0,0.0,0.9229
17,0,0.0,0.9183
18,0,0.0,0.9137
19,1,0.05,0.9092
20,0,0.05,0.9046
21,0,0.05,0.9001
22,0,0.05,0.8956
23,0,0.04,0.8911
24,0,0.04,0.8867
25,0,0.04,0.8822
26,0,0.04,0.8778
27,0,0.04,0.8734
28,0,0.04,0.8691
29,0,0.03,0.8647
30,0,0.03,0.8604
31,0,0.03,0.8561
32,0,0.03,0.8518
33,0,0.03,0.8475
34,0,0.03,0.8433
35,0,0.03,0.8391
36,0,0.03,0.8349
37,0,0.03,0.8307
38,0,0.03,0.8266
39,0,0.03,0.8224
40,0,0.03,0.8183
41,0,0.02,0.8142
42,0,0.02,0.8102
43,0,0.02,0.8061
44,0,0.02,0.8021
